Home \ Away,ARS,AST,CAR,CHE,CRY,EVE,FUL,HUL,LIV,MCI,MUN,NEW,NOR,SOU,STK,SUN,SWA,TOT,WBA,WHU
Arsenal,Ñ,1Ð3,2Ð0,0Ð0,2Ð0,1Ð1,2Ð0,2Ð0,2Ð0,1Ð1,0Ð0,3Ð0,4Ð1,2Ð0,3Ð1,4Ð1,2Ð2,1Ð0,1Ð0,3Ð1
Aston Villa,1Ð2,Ñ,2Ð0,1Ð0,0Ð1,0Ð2,1Ð2,3Ð1,0Ð1,3Ð2,0Ð3,1Ð2,4Ð1,0Ð0,1Ð4,0Ð0,1Ð1,0Ð2,4Ð3,0Ð2
Cardiff City,0Ð3,0Ð0,Ñ,1Ð2,0Ð3,0Ð0,3Ð1,0Ð4,3Ð6,3Ð2,2Ð2,1Ð2,2Ð1,0Ð3,1Ð1,2Ð2,1Ð0,0Ð1,1Ð0,0Ð2
Chelsea,6Ð0,2Ð1,4Ð1,Ñ,2Ð1,1Ð0,2Ð0,2Ð0,2Ð1,2Ð1,3Ð1,3Ð0,0Ð0,3Ð1,3Ð0,1Ð2,1Ð0,4Ð0,2Ð2,0Ð0
Crystal Palace,0Ð2,1Ð0,2Ð0,1Ð0,Ñ,0Ð0,1Ð4,1Ð0,3Ð3,0Ð2,0Ð2,0Ð3,1Ð1,0Ð1,1Ð0,3Ð1,0Ð2,0Ð1,3Ð1,1Ð0
Everton,3Ð0,2Ð1,2Ð1,1Ð0,2Ð3,Ñ,4Ð1,2Ð1,3Ð3,2Ð3,2Ð0,3Ð2,2Ð0,2Ð1,4Ð0,0Ð1,3Ð2,0Ð0,0Ð0,1Ð0
Fulham,1Ð3,2Ð0,1Ð2,1Ð3,2Ð2,1Ð3,Ñ,2Ð2,2Ð3,2Ð4,1Ð3,1Ð0,1Ð0,0Ð3,1Ð0,1Ð4,1Ð2,1Ð2,1Ð1,2Ð1
Hull City,0Ð3,0Ð0,1Ð1,0Ð2,0Ð1,0Ð2,6Ð0,Ñ,3Ð1,0Ð2,2Ð3,1Ð4,1Ð0,0Ð1,0Ð0,1Ð0,1Ð0,1Ð1,2Ð0,1Ð0
Liverpool,5Ð1,2Ð2,3Ð1,0Ð2,3Ð1,4Ð0,4Ð0,2Ð0,Ñ,3Ð2,1Ð0,2Ð1,5Ð1,0Ð1,1Ð0,2Ð1,4Ð3,4Ð0,4Ð1,4Ð1
Manchester City,6Ð3,4Ð0,4Ð2,0Ð1,1Ð0,3Ð1,5Ð0,2Ð0,2Ð1,Ñ,4Ð1,4Ð0,7Ð0,4Ð1,1Ð0,2Ð2,3Ð0,6Ð0,3Ð1,2Ð0
Manchester United,1Ð0,4Ð1,2Ð0,0Ð0,2Ð0,0Ð1,2Ð2,3Ð1,0Ð3,0Ð3,Ñ,0Ð1,4Ð0,1Ð1,3Ð2,0Ð1,2Ð0,1Ð2,1Ð2,3Ð1
Newcastle United,0Ð1,1Ð0,3Ð0,2Ð0,1Ð0,0Ð3,1Ð0,2Ð3,2Ð2,0Ð2,0Ð4,Ñ,2Ð1,1Ð1,5Ð1,0Ð3,1Ð2,0Ð4,2Ð1,0Ð0
Norwich City,0Ð2,0Ð1,0Ð0,1Ð3,1Ð0,2Ð2,1Ð2,1Ð0,2Ð3,0Ð0,0Ð1,0Ð0,Ñ,1Ð0,1Ð1,2Ð0,1Ð1,1Ð0,0Ð1,3Ð1
Southampton,2Ð2,2Ð3,0Ð1,0Ð3,2Ð0,2Ð0,2Ð0,4Ð1,0Ð3,1Ð1,1Ð1,4Ð0,4Ð2,Ñ,2Ð2,1Ð1,2Ð0,2Ð3,1Ð0,0Ð0
Stoke City,1Ð0,2Ð1,0Ð0,3Ð2,2Ð1,1Ð1,4Ð1,1Ð0,3Ð5,0Ð0,2Ð1,1Ð0,0Ð1,1Ð1,Ñ,2Ð0,1Ð1,0Ð1,0Ð0,3Ð1
Sunderland,1Ð3,0Ð1,4Ð0,3Ð4,0Ð0,0Ð1,0Ð1,0Ð2,1Ð3,1Ð0,1Ð2,2Ð1,0Ð0,2Ð2,1Ð0,Ñ,1Ð3,1Ð2,2Ð0,1Ð2
Swansea City,1Ð2,4Ð1,3Ð0,0Ð1,1Ð1,1Ð2,2Ð0,1Ð1,2Ð2,2Ð3,1Ð4,3Ð0,3Ð0,0Ð1,3Ð3,4Ð0,Ñ,1Ð3,1Ð2,0Ð0
Tottenham Hotspur,0Ð1,3Ð0,1Ð0,1Ð1,2Ð0,1Ð0,3Ð1,1Ð0,0Ð5,1Ð5,2Ð2,0Ð1,2Ð0,3Ð2,3Ð0,5Ð1,1Ð0,Ñ,1Ð1,0Ð3
West Bromwich Albion,1Ð1,2Ð2,3Ð3,1Ð1,2Ð0,1Ð1,1Ð1,1Ð1,1Ð1,2Ð3,0Ð3,1Ð0,0Ð2,0Ð1,1Ð2,3Ð0,0Ð2,3Ð3,Ñ,1Ð0
West Ham United,1Ð3,0Ð0,2Ð0,0Ð3,0Ð1,2Ð3,3Ð0,2Ð1,1Ð2,1Ð3,0Ð2,1Ð3,2Ð0,3Ð1,0Ð1,0Ð0,2Ð0,2Ð0,3Ð3,Ñ