H,HSD,HCV,D,DSD,DCV,A,ASD,ACV
2.139,0.078,0.0363,3.531,0.15,0.0425,2.993,0.142,0.047
2.508,0.099,0.0393,3.214,0.106,0.0329,2.633,0.105,0.04
2.262,0.078,0.0345,3.374,0.137,0.0407,2.915,0.133,0.046
1.874,0.058,0.0311,3.471,0.154,0.0444,3.822,0.185,0.048
2.072,0.062,0.0301,3.562,0.129,0.0362,3.19,0.106,0.033
1.901,0.047,0.0247,3.124,0.105,0.0337,4.263,0.268,0.063
2.175,0.057,0.0261,2.944,0.105,0.0357,3.561,0.209,0.059
1.995,0.051,0.0257,3.068,0.104,0.034,3.973,0.28,0.07
1.705,0.036,0.0212,3.431,0.117,0.0341,4.915,0.336,0.068
1.812,0.064,0.0355,3.185,0.127,0.0398,4.671,0.488,0.104
2.127,0.068,0.0322,2.876,0.09,0.0314,3.805,0.235,0.062
2.2,0.064,0.0289,3.004,0.119,0.0397,3.411,0.193,0.057
2.252,0.055,0.0246,3.074,0.114,0.0372,3.207,0.143,0.045
1.307,0.061,0.0468,5.341,0.401,0.075,8.218,1.598,0.195
1.907,0.063,0.0328,3.433,0.145,0.0422,3.777,0.213,0.056
2.743,0.102,0.0372,3.191,0.122,0.0383,2.515,0.075,0.03
2.411,0.06,0.025,3.233,0.126,0.0389,2.707,0.096,0.035
2.137,0.059,0.0275,2.948,0.099,0.0337,3.666,0.171,0.047
2.422,0.161,0.0667,3.17,0.136,0.043,2.761,0.127,0.046
2.704,0.183,0.0676,3.178,0.139,0.0437,2.46,0.11,0.045