League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
6,5,3.75,1.52,5.3,2.25,2.02,2.03,1.8,2.28,3.3,2.58,1.68,2.05,2.5,1.46,4.32,0.23,0.05,3.66,0.13,0.04,1.71,0.05,0.03,9, -   , 0.22 , 0.78 ,8,1,0,2,2,1,4,H,D,B,S
36,1.58,3.55,4.8,2.17,2.15,5,1.86,1.9,2.78,3.3,2.15,1.75,1.95,2.55,1.45,1.47,0.07,0.05,4.32,0.34,0.08,5.61,0.68,0.12,3, 0.67 , -   , 0.33 ,9.9,1,0,2,1,1,3,H,H,B,S
106,1.49,3.7,5.5,2.15,2.05,5.7,2.1,1.75,2.6,3.15,2.35,1.8,1.9,2.04,1.79,1.49,0.04,0.02,3.85,0.16,0.04,6.47,0.53,0.08,22, 0.64 , 0.27 , 0.09 ,10.3,0,1,2,1,1,3,A,H,B,S
144,1.97,3.4,3.1,2.55,2.2,3.55,1.8,1.97,3.7,3.65,1.7,1.72,2,2.5,1.46,2.02,0.09,0.04,3.5,0.13,0.04,3.33,0.23,0.07,8, 0.38 , 0.50 , 0.13 ,6.8,1,1,2,1,2,3,D,H,B,B
93,3.7,3.3,1.82,4.4,2.1,2.35,2.17,1.66,1.83,3.4,3.45,1.68,2.05,2.83,1.37,3.63,0.22,0.06,3.42,0.11,0.03,1.95,0.07,0.04,4, 0.25 , 0.50 , 0.25 ,7.1,0,3,0,4,3,4,A,A,B,B
93,1.78,3.55,3.55,2.52,2.2,3.6,2.25,1.65,3.2,3.6,1.85,1.65,2.1,1.92,1.78,1.33,0.05,0.04,5.02,0.38,0.08,7.78,1.04,0.13,0, -   , -   , -   ,12.8,2,1,4,1,3,5,H,H,B,B
6,1.19,5,12,1.63,2.45,9.25,NaN,NaN,1.71,3.65,3.7,1.72,2,2.5,1.46,1.22,0.05,0.04,5.86,0.52,0.09,10.9,2.42,0.22,16, 0.81 , 0.06 , 0.13 ,16.8,0,0,3,1,0,4,D,H,B,S
6,1.08,7.25,19,1.42,2.95,11.75,NaN,NaN,2.1,3.9,2.52,1.45,2.55,2.1,1.65,1.11,0.02,0.02,8.26,0.87,0.11,17.57,3.55,0.2,3, 1.00 , -   , -   ,25.8,1,0,4,0,1,4,H,H,B,S
6,1.6,3.45,4.8,2.15,2.1,5.3,1.86,1.91,2.9,3.25,2.1,2,1.72,2.92,1.35,1.71,0.06,0.03,3.54,0.12,0.03,4.52,0.34,0.07,16, 0.50 , 0.44 , 0.06 ,8.1,1,2,2,3,3,5,A,A,B,B
6,1.68,3.25,4.55,2.32,1.95,5.4,2.02,1.76,3.2,3.25,1.98,2.35,1.52,3.55,1.25,1.85,0.09,0.05,3.42,0.13,0.04,3.9,0.35,0.09,21, 0.48 , 0.43 , 0.10 ,7.3,2,1,3,1,3,4,H,H,B,B
6,1.9,3.15,3.6,2.55,2,4.25,NaN,NaN,3.8,3.4,1.75,2.2,1.59,3.3,1.28,1.93,0.1,0.05,3.37,0.15,0.04,3.67,0.23,0.06,21, 0.48 , 0.19 , 0.33 ,7,1,0,1,2,1,3,H,A,B,S
6,1.14,5.8,13.5,1.51,2.75,9.75,NaN,NaN,2.45,3.9,2.15,1.68,2.05,2.2,1.59,1.13,0.03,0.03,7.54,0.7,0.09,15.21,2.49,0.16,6, 0.67 , 0.17 , 0.17 ,22.8,1,0,2,1,1,3,H,H,B,S
69,2.9,3,2.25,3.65,1.92,3,1.78,2.06,1.53,3.7,4.85,3.8,1.22,2.48,1.47,2.94,0.12,0.04,2.98,0.08,0.03,2.51,0.09,0.03,3, 0.33 , 0.33 , 0.33 ,5.9,0,1,0,1,1,1,A,A,S,S
78,1.9,3.35,3.35,2.4,2.1,4.25,NaN,NaN,3.55,3.55,1.77,1.95,1.75,2.92,1.35,2.04,0.09,0.04,3.17,0.12,0.04,3.52,0.3,0.09,12, 0.58 , 0.08 , 0.33 ,6.7,1,0,2,0,1,2,H,H,S,S
78,2.8,2.7,2.52,3.9,1.78,3.25,1.98,1.79,1.45,3.75,5.85,2.75,1.39,3.9,1.21,2.87,0.13,0.05,2.87,0.11,0.04,2.54,0.11,0.04,4, 0.25 , 0.50 , 0.25 ,5.7,0,0,0,1,0,1,D,A,S,S
79,1.52,4,4.65,2,2.35,4.9,1.76,2.08,2.4,3.6,2.3,1.68,2.05,2.75,1.39,1.56,0.04,0.03,4.1,0.18,0.04,5.22,0.48,0.09,44, 0.61 , 0.23 , 0.16 ,9.3,2,0,5,0,2,5,H,H,B,B
79,1.38,4.35,5.9,1.82,2.5,5.6,NaN,NaN,2.15,3.6,2.6,1.67,2.07,2.29,1.55,1.52,0.1,0.07,4.27,0.3,0.07,5.51,0.67,0.12,38, 0.63 , 0.21 , 0.16 ,9.8,1,0,4,0,1,4,H,H,B,S
79,1.53,3.8,4.85,2.1,2.25,4.9,NaN,NaN,2.57,3.4,2.25,1.9,1.8,2.55,1.45,1.74,0.12,0.07,3.77,0.19,0.05,4.33,0.59,0.14,88, 0.64 , 0.18 , 0.18 ,8.1,1,0,2,2,1,4,H,D,B,S
79,1.65,3.85,3.9,2.15,2.35,4.2,1.95,1.87,2.75,3.65,2.05,1.65,2.1,2.25,1.57,1.77,0.1,0.06,3.82,0.18,0.05,4,0.29,0.07,65, 0.62 , 0.23 , 0.15 ,7.8,2,0,3,1,2,4,H,H,B,B
106,1.14,5.75,14,1.58,2.5,10.5,1.91,1.86,2.65,3.8,2.05,1.7,2.02,2.55,1.45,1.23,0.02,0.02,5.36,0.35,0.07,11.55,1.74,0.15,4, 0.75 , 0.25 , -   ,16.9,0,0,2,0,0,2,D,H,S,S
78,1.46,3.75,5.8,2,2.25,5.5,NaN,NaN,2.4,3.3,2.45,1.9,1.8,2.8,1.38,1.43,0.03,0.02,3.89,0.16,0.04,7.43,0.81,0.11,4, 0.75 , 0.25 , -   ,11.3,0,0,1,1,0,2,D,D,S,S
78,2.35,2.8,2.95,3.15,1.8,3.95,2.08,1.72,5.25,3.7,1.5,2.65,1.42,3.8,1.22,2.32,0.07,0.03,2.82,0.09,0.03,3.27,0.16,0.05,1, -   , -   , 1.00 ,6.1,1,0,1,0,1,1,H,H,S,S
7,4.9,3.4,1.6,5.1,2.05,2.25,1.88,1.88,2.15,3.25,2.8,2,1.72,1.57,2.25,3.64,0.5,0.14,3.43,0.13,0.04,1.92,0.13,0.07,41, 0.27 , 0.22 , 0.51 ,7.1,1,1,1,2,2,3,D,A,B,B
72,1.75,3.75,3.5,2.2,2.4,3.85,NaN,NaN,3,3.7,1.9,1.62,2.15,2.15,1.62,1.6,0.05,0.03,4.03,0.18,0.04,4.38,0.24,0.06,5, 0.60 , 0.20 , 0.20 ,8.4,0,1,2,1,1,3,A,H,B,S
7,1.18,5.25,11.5,1.65,2.4,9.5,NaN,NaN,1.68,3.6,3.9,1.72,2,2.55,1.45,1.2,0.04,0.03,6.05,0.49,0.08,10.38,1.41,0.14,3, 0.67 , 0.33 , -   ,16.4,1,0,2,1,1,3,H,H,B,S
7,1.12,6.1,15,1.51,2.65,11.5,NaN,NaN,2.52,3.9,2.1,1.59,2.2,2.35,1.52,1.1,0.05,0.04,8.67,1.42,0.16,15.42,3.34,0.22,0, -   , -   , -   ,24.1,0,0,0,2,0,2,D,A,S,S
7,2.6,3.1,2.4,3.25,2.01,3.1,1.96,1.81,1.48,3.95,5,2.02,1.7,3,1.33,2.62,0.1,0.04,3.16,0.11,0.03,2.52,0.1,0.04,47, 0.17 , 0.34 , 0.49 ,5.8,0,0,2,1,0,3,D,H,B,S
93,2.8,3.2,2.2,3.45,2.05,2.85,NaN,NaN,1.56,3.85,4.4,1.9,1.8,2.8,1.38,2.98,0.12,0.04,3.33,0.08,0.02,2.14,0.04,0.02,4, 0.25 , -   , 0.75 ,6.3,2,1,2,4,3,6,H,A,B,B
79,2.2,3.35,2.7,2.82,2.1,3.35,1.72,2.07,4.15,3.95,1.58,1.72,2,1.45,2.55,2.56,0.09,0.03,3.37,0.12,0.04,2.55,0.08,0.03,59, 0.39 , 0.29 , 0.32 ,5.9,0,1,1,4,1,5,A,A,B,S
106,2.17,2.82,3.25,3,1.78,4.3,1.92,1.85,4.75,3.4,1.6,2.35,1.52,3.9,1.21,2.39,0.09,0.04,2.82,0.08,0.03,3.18,0.16,0.05,11, 0.27 , 0.46 , 0.27 ,6,0,0,0,1,0,1,D,A,S,S
93,1.92,3.3,3.35,2.5,2.15,3.8,NaN,NaN,3.6,3.65,1.73,1.78,1.92,2.65,1.42,2.02,0.04,0.02,3.53,0.12,0.03,3.13,0.12,0.04,2, 0.50 , 0.50 , -   ,6.7,0,1,2,1,1,3,A,H,B,S
72,6,4.7,1.34,5.7,2.5,1.8,NaN,NaN,2.85,3.6,2,1.43,2.6,1.95,1.75,8.27,2.09,0.25,5.35,0.73,0.14,1.29,0.08,0.06,0, -   , -   , -   ,13.6,0,0,1,0,0,1,D,H,S,S
72,1.7,3.55,3.9,2.25,2.2,4.3,NaN,NaN,3,3.45,1.97,1.72,2,2.5,1.46,2.26,0.18,0.08,3.31,0.11,0.03,2.86,0.28,0.1,23, 0.57 , 0.17 , 0.26 ,6.2,0,0,1,0,0,1,D,H,S,S
36,1.4,4.05,6.2,1.88,2.32,6,NaN,NaN,2.25,3.4,2.57,1.85,1.85,2.35,1.52,1.44,0.04,0.03,4.24,0.18,0.04,6.05,0.77,0.13,2, 0.50 , -   , 0.50 ,10.3,1,0,4,0,1,4,H,H,B,S
69,2.65,2.45,2.95,3.55,1.7,3.85,1.85,1.99,7.1,3.65,1.4,1.75,1.95,1.93,1.77,2.62,0.14,0.05,2.9,0.12,0.04,2.91,0.16,0.05,7, 0.71 , 0.14 , 0.14 ,5.8,0,1,0,1,1,1,A,A,S,S
124,2.3,3,2.82,3,2,3.4,2.1,1.76,4.8,3.8,1.52,3.7,1.23,2.35,1.52,2.32,0.12,0.05,3.25,0.14,0.04,2.85,0.1,0.04,195, 0.37 , 0.28 , 0.34 ,6.1,1,1,1,3,2,4,D,A,B,B
72,2.22,3.55,2.55,2.8,2.27,3,NaN,NaN,1.43,4.45,4.8,1.46,2.5,2.1,1.65,2.02,0.08,0.04,3.69,0.18,0.05,3.04,0.17,0.06,5, 0.60 , 0.40 , -   ,6.7,1,1,2,3,2,5,D,A,B,B
79,3.9,4,1.62,4.15,2.5,2.05,1.87,1.95,2.12,3.7,2.58,1.4,2.7,2.5,1.46,3.42,0.32,0.09,3.94,0.21,0.05,1.89,0.11,0.06,2, 1.00 , -   , -   ,7.4,1,1,3,2,2,5,D,H,B,B
124,1.8,3.25,3.85,2.4,2.05,4.5,NaN,NaN,3.45,3.35,1.85,2.05,1.68,2.97,1.34,1.92,0.09,0.05,3.38,0.1,0.03,3.69,0.34,0.09,146, 0.47 , 0.32 , 0.21 ,7.1,0,0,1,0,0,1,D,H,S,S
55,1.79,3.55,3.5,2.2,2.27,4.3,1.97,1.87,2.9,3.45,2.03,2.08,1.66,2.6,1.43,1.77,0.06,0.04,3.62,0.17,0.05,4.15,0.2,0.05,46, 0.57 , 0.17 , 0.26 ,7.8,2,1,5,2,3,7,H,H,B,B
55,2.5,3.9,2.15,3.05,2.4,2.6,2.07,1.78,1.6,4.05,3.9,1.8,1.9,1.8,1.9,2.51,0.09,0.04,3.64,0.17,0.05,2.43,0.11,0.05,4, 0.75 , -   , 0.25 ,6.2,0,1,0,2,1,2,A,A,S,S
55,4.4,3.25,1.7,5.4,1.9,2.4,1.77,2.09,2,3.15,3.2,2.4,1.5,1.83,1.87,3.96,0.24,0.06,3.22,0.13,0.04,1.92,0.09,0.05,16, 0.38 , 0.06 , 0.56 ,7.2,0,0,2,2,0,4,D,D,B,S
55,1.87,3.8,3.1,2.4,2.3,3.6,1.76,2.1,3.3,3.7,1.8,1.55,2.29,1.42,2.65,1.99,0.07,0.04,3.52,0.17,0.05,3.37,0.14,0.04,40, 0.48 , 0.28 , 0.25 ,6.9,2,1,2,2,3,4,H,D,B,B
87,1.45,3.85,5.75,2.05,2.1,6.1,NaN,NaN,2.4,3.2,2.5,1.98,1.73,3.2,1.3,1.59,0.05,0.03,3.64,0.12,0.03,5.35,0.34,0.06,52, 0.58 , 0.15 , 0.27 ,9,0,1,2,1,1,3,A,H,B,S
87,2.15,3.45,2.7,2.8,2.1,3.4,2.01,1.82,4.1,3.85,1.6,3.25,1.29,2.88,1.36,2.31,0.07,0.03,3.25,0.1,0.03,2.86,0.09,0.03,120, 0.41 , 0.24 , 0.35 ,6.1,1,0,3,0,1,3,H,H,B,S
87,3,3.45,2,3.7,2.08,2.65,NaN,NaN,1.7,3.65,3.75,1.85,1.85,3,1.33,3.06,0.16,0.05,3.35,0.13,0.04,2.16,0.14,0.07,26, 0.31 , 0.12 , 0.58 ,6.4,0,0,1,0,0,1,D,H,S,S
93,3.15,3.4,1.95,3.8,2.12,2.55,2,1.78,1.7,3.75,3.65,3.2,1.3,3.3,1.28,3.13,0.29,0.09,3.38,0.14,0.04,2.18,0.28,0.13,4, 0.25 , -   , 0.75 ,6.5,1,0,1,0,1,1,H,H,S,S
55,1.57,3.6,4.8,2.13,2.12,5.4,1.85,1.99,2.77,3.2,2.2,2.07,1.67,2.7,1.4,1.63,0.05,0.03,3.63,0.2,0.05,5.2,0.52,0.1,36, 0.42 , 0.44 , 0.14 ,8.8,2,1,2,1,3,3,H,H,B,B
55,1.63,3.6,4.3,2.2,2.07,5.25,1.99,1.85,2.95,3.25,2.07,1.78,1.92,2.68,1.41,1.74,0.04,0.03,3.54,0.16,0.05,4.46,0.25,0.06,61, 0.43 , 0.31 , 0.26 ,8,0,0,0,0,0,0,D,D,S,S
55,2.48,3.15,2.48,3.4,1.86,3.4,1.9,1.94,5.35,3.9,1.46,4.4,1.17,1.75,1.95,2.59,0.12,0.05,3.11,0.13,0.04,2.66,0.1,0.04,78, 0.39 , 0.19 , 0.42 ,5.8,0,3,1,3,3,4,A,A,B,B
55,2.9,3.45,2.05,3.8,2.05,2.65,1.91,1.93,1.66,3.7,3.9,1.83,1.87,1.55,2.29,3,0.19,0.06,3.3,0.13,0.04,2.24,0.1,0.04,89, 0.27 , 0.28 , 0.45 ,6.3,0,2,0,2,2,2,A,A,S,B
87,1.72,3.35,4.1,2.4,2,4.7,NaN,NaN,3.2,3.3,1.95,2.1,1.65,3.4,1.27,1.74,0.05,0.03,3.47,0.14,0.04,4.39,0.22,0.05,67, 0.51 , 0.27 , 0.22 ,7.9,1,0,1,0,1,1,H,H,S,S
87,2.4,3.1,2.6,3.2,1.9,3.45,1.83,1.99,5.25,3.8,1.48,2.3,1.54,3.7,1.23,1.28,0.03,0.03,5.06,0.19,0.04,7.65,0.63,0.08,0, -   , -   , -   ,12.7,2,0,3,2,2,5,H,H,B,B
87,2.55,3.6,2.2,3.15,2.2,2.8,NaN,NaN,1.57,4,4.15,1.6,2.19,2.55,1.45,2.58,0.08,0.03,3.4,0.11,0.03,2.44,0.12,0.05,11, 0.27 , 0.18 , 0.55 ,6,0,0,2,2,0,4,D,D,B,S
87,2.35,3.15,2.62,3.15,1.92,3.45,NaN,NaN,5,3.8,1.5,2.2,1.59,3.55,1.25,2.25,0.09,0.04,3.13,0.12,0.04,3.09,0.28,0.09,223, 0.41 , 0.31 , 0.28 ,6.2,0,2,3,2,2,5,A,H,B,B
88,3.75,3.4,1.78,4.1,2.2,2.33,NaN,NaN,1.87,3.55,3.2,1.7,2.02,2.68,1.41,3.84,0.2,0.05,3.51,0.11,0.03,1.84,0.07,0.04,12, -   , 0.33 , 0.67 ,7.4,1,1,2,4,2,6,D,A,B,B
88,2.22,3.2,2.77,2.9,2.02,3.45,NaN,NaN,4.4,3.85,1.56,1.8,1.9,2.82,1.37,2.2,0.06,0.03,3.36,0.11,0.03,2.96,0.13,0.04,40, 0.20 , 0.48 , 0.33 ,6.3,1,2,2,2,3,4,A,D,B,B
88,1.67,3.3,4.5,2.3,2.03,4.95,NaN,NaN,3.05,3.25,2.03,2.02,1.7,3.2,1.3,1.7,0.04,0.03,3.53,0.13,0.04,4.59,0.26,0.06,28, 0.57 , 0.21 , 0.21 ,8.1,0,0,1,2,0,3,D,A,B,S
122,3.9,3.1,1.84,4.8,1.95,2.45,2.19,1.7,1.83,3.3,3.6,1.98,1.73,3.3,1.28,4.52,0.68,0.15,3.3,0.21,0.06,1.82,0.15,0.08,24, 0.42 , 0.25 , 0.33 ,7.8,2,0,2,3,2,5,H,A,B,B
144,1.95,3.5,3.05,2.5,2.2,3.65,1.79,1.98,3.6,3.75,1.71,1.68,2.05,2.5,1.46,2.14,0.06,0.03,3.49,0.12,0.03,3.06,0.12,0.04,13, 0.39 , 0.15 , 0.46 ,6.6,0,0,1,0,0,1,D,H,S,S
93,6.2,4.3,1.37,6,2.45,1.81,1.79,1.98,2.7,3.55,2.1,2.55,1.45,2.3,1.54,6.07,0.51,0.08,4.46,0.19,0.04,1.44,0.03,0.02,0, -   , -   , -   ,10.5,0,0,0,0,0,0,D,D,S,S
122,2.25,2.88,3,3,1.8,4.15,2.05,1.8,4.95,3.55,1.55,2.15,1.62,3.6,1.24,2.5,0.14,0.06,3.02,0.13,0.04,2.85,0.2,0.07,76, 0.37 , 0.37 , 0.26 ,5.9,1,2,2,3,3,5,A,A,B,B
56,2.28,3,2.85,3.05,1.94,3.5,NaN,NaN,4.75,3.8,1.53,2.15,1.62,3.2,1.3,2.26,0.08,0.04,3.17,0.11,0.04,3.11,0.17,0.06,176, 0.45 , 0.26 , 0.30 ,6.3,0,1,2,1,1,3,A,H,B,S
58,2.08,3.3,2.95,2.65,2.15,3.5,1.93,1.91,3.9,3.8,1.64,1.75,1.95,2.55,1.45,1.9,0.15,0.08,3.5,0.16,0.05,3.78,0.47,0.12,64, 0.48 , 0.33 , 0.19 ,7.3,3,0,4,0,3,4,H,H,B,B
58,1.53,3.35,5.8,2.1,2,6.55,1.89,1.95,2.78,3.05,2.28,2.3,1.54,3.25,1.29,1.61,0.05,0.03,3.51,0.15,0.04,5.67,0.39,0.07,0, -   , -   , -   ,9.2,1,0,2,0,1,2,H,H,S,S
36,1.93,3.35,3.25,2.52,2.2,3.6,NaN,NaN,3.65,3.65,1.73,1.7,2.02,2.48,1.47,1.94,0.05,0.03,3.51,0.11,0.03,3.4,0.17,0.05,0, -   , -   , -   ,6.9,1,1,2,2,2,4,D,D,B,B
36,1.2,5.4,9.5,1.59,2.75,7.5,NaN,NaN,1.68,3.85,3.65,1.93,1.77,2.05,1.68,1.27,0.02,0.02,5.2,0.26,0.05,8.62,0.96,0.11,2, 0.50 , 0.50 , -   ,13.8,0,0,2,0,0,2,D,H,S,S
122,1.41,3.7,6.9,1.92,2.15,7,1.88,1.96,2.37,3.2,2.55,1.8,1.9,2.98,1.34,1.48,0.05,0.03,3.82,0.21,0.06,6.85,0.66,0.1,31, 0.61 , 0.29 , 0.10 ,10.7,2,1,2,1,3,3,H,H,B,B
