Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
68,20190720,122,1.41,3.7,6.9,1.92,2.15,7,1.88,1.96,[-1.0/-1.0],[+1.0/+1.0],2.37,3.2,2.55,[-1],[+1],2.0/2.5,1.8,1.9,1.5/1.5,2.98,1.34,1.48,0.05,0.03,3.82,0.21,0.06,6.85,0.66,0.1,31,61%,29%,10%,2,1,2,1,3,3,H,H,10.67
69,20190720,58,4.7,3.55,1.59,5.05,2.15,2.15,1.95,1.89,[+0.5/+1.0],[-0.5/-1.0],2.13,3.3,2.8,[+1],[-1],2.5/2.5,1.87,1.83,1.5/1.5,2.7,1.4,4.34,0.3,0.07,3.46,0.14,0.04,1.78,0.07,0.04,13,31%,0%,69%,0,0,0,1,0,1,D,A,7.8
70,20190720,122,2.38,2.9,2.78,3.1,1.88,3.65,1.77,2.09,[+0.0/+0.0],[-0.0/-0.0],5.15,3.75,1.5,[-1],[+1],2.0/2.5,2.05,1.68,1.5/1.5,3.4,1.27,2.59,0.26,0.1,3.13,0.14,0.05,2.7,0.3,0.11,50,34%,40%,26%,1,1,1,2,2,3,D,A,5.83
71,20190720,125,2.05,3.2,3.1,2.65,2.03,3.85,NaN,NaN,NaN,NaN,4.1,3.6,1.65,[-1],[+1],2.5/2.5,1.95,1.75,1.5/1.5,2.95,1.34,2.14,0.05,0.02,3.27,0.11,0.04,3.13,0.12,0.04,17,59%,12%,29%,2,1,3,1,3,4,H,H,6.39
72,20190720,144,1.23,5.15,8.5,1.64,2.65,7,NaN,NaN,NaN,NaN,1.72,3.8,3.5,[-1],[+1],2.5/3.0,1.62,2.15,1.5/1.5,2.2,1.59,1.6,0.28,0.18,4.22,0.74,0.18,5.99,2.62,0.44,0,0%,0%,0%,1,0,3,0,1,3,H,H,10.21
73,20190720,56,1.73,3.15,4.4,2.45,1.9,5.2,NaN,NaN,NaN,NaN,3.35,3.2,1.93,[-1],[+1],2.5/2.5,2.4,1.5,1.5/1.5,3.55,1.25,1.97,0.11,0.05,3.22,0.11,0.04,3.84,0.36,0.09,153,52%,27%,21%,0,0,0,0,0,0,D,D,7.07
74,20190720,117,4.5,2.9,1.8,5.1,1.88,2.5,NaN,NaN,NaN,NaN,1.85,3.2,3.65,[+1],[-1],2.5/2.5,2.6,1.43,1.5/1.5,3.6,1.24,3.78,0.4,0.11,3.07,0.12,0.04,1.99,0.13,0.06,5,0%,20%,80%,0,1,1,1,1,2,A,D,6.85
75,20190720,125,2.3,3.2,2.65,3,2,3.4,NaN,NaN,NaN,NaN,4.8,3.8,1.52,[-1],[+1],2.5/2.5,2,1.72,1.5/1.5,3.05,1.32,2.37,0.1,0.04,3.23,0.12,0.04,2.79,0.24,0.08,6,33%,33%,33%,1,0,1,1,1,2,H,D,6.02
76,20190720,144,1.72,3.65,3.75,2.25,2.35,3.85,NaN,NaN,NaN,NaN,3,3.65,1.92,[-1],[+1],2.5/3.0,1.75,1.95,1.5/1.5,2.35,1.52,2.02,0.06,0.03,3.57,0.11,0.03,3.31,0.13,0.04,7,43%,43%,14%,1,0,3,0,1,3,H,H,6.88
77,20190720,56,3.8,2.88,1.95,4.6,1.85,2.7,NaN,NaN,NaN,NaN,1.72,3.3,4.1,[+1],[-1],2.5/2.5,2.65,1.42,1.5/1.5,3.8,1.22,4.08,0.26,0.06,3.26,0.14,0.04,1.9,0.09,0.04,5,0%,40%,60%,1,0,2,0,1,2,H,H,7.33
78,20190720,56,2.8,2.95,2.35,3.75,1.9,3,NaN,NaN,NaN,NaN,1.5,3.8,5.05,[+1],[-1],2.5/2.5,2.3,1.54,1.5/1.5,3.4,1.27,2.74,0.26,0.09,3.08,0.11,0.04,2.59,0.22,0.09,106,36%,31%,33%,0,1,0,4,1,4,A,A,5.82
79,20190720,56,2.2,2.8,3.2,3,1.78,4.3,NaN,NaN,NaN,NaN,4.8,3.55,1.57,[-1],[+1],2.5/2.5,2.7,1.4,1.5/1.5,3.8,1.22,2.15,0.07,0.03,3.03,0.1,0.03,3.51,0.17,0.05,58,60%,24%,16%,1,0,1,1,1,2,H,D,6.54
80,20190720,124,2.63,2.95,2.47,3.35,1.95,3.15,NaN,NaN,NaN,NaN,1.44,4,5.4,[+1],[-1],2.5/2.5,2.07,1.67,1.5/1.5,2.97,1.34,2.49,0.12,0.05,3.19,0.13,0.04,2.66,0.09,0.04,193,32%,30%,39%,0,0,0,2,0,2,D,A,5.85
81,20190720,124,2.35,3.25,2.57,2.9,2.15,3.15,1.84,2,[+0.0/+0.0],[-0.0/-0.0],4.65,4.05,1.5,[-1],[+1],2.5/2.5,1.7,2.02,1.5/1.5,2.45,1.48,2.41,0.07,0.03,3.34,0.12,0.04,2.67,0.09,0.03,81,38%,26%,36%,0,2,1,3,2,4,A,A,6.01
82,20190720,79,1.68,3.8,3.75,2.15,2.35,4.2,2,1.82,[-0.5/-1.0],[+0.5/+1.0],2.78,3.65,2.02,[-1],[+1],2.5/2.5,1.52,2.35,1.5/1.5,2.3,1.54,1.66,0.06,0.04,4.07,0.2,0.05,4.38,0.32,0.07,28,54%,21%,25%,1,0,2,0,1,2,H,H,8.44
83,20190720,79,1.75,3.4,3.9,2.35,2.1,4.4,NaN,NaN,NaN,NaN,3.15,3.45,1.92,[-1],[+1],2.5/2.5,1.9,1.8,1.5/1.5,2.82,1.37,1.97,0.1,0.05,3.44,0.13,0.04,3.6,0.37,0.1,201,54%,23%,23%,1,1,2,1,2,3,D,H,7.04
84,20190720,79,1.6,4,4,2.05,2.45,4.3,NaN,NaN,NaN,NaN,2.55,3.7,2.15,[-1],[+1],3.0/3.5,1.98,1.73,1.5/1.5,2.19,1.6,1.72,0.08,0.05,3.98,0.24,0.06,4.12,0.29,0.07,23,61%,26%,13%,0,2,1,3,2,4,A,A,8.1
85,20190720,144,2.55,3.65,2.17,3.15,2.3,2.65,1.76,2.02,[+0.0/+0.5],[-0.0/-0.5],1.57,4.15,3.95,[+1],[-1],2.5/2.5,1.45,2.55,1.5/2.0,2.55,1.45,2.71,0.13,0.05,3.59,0.12,0.03,2.34,0.11,0.05,3,33%,33%,33%,1,0,3,1,1,4,H,H,6.29
86,20190720,124,2.12,3.1,3.05,2.8,2,3.7,1.96,1.88,[+0.0/-0.5],[-0.0/+0.5],4.3,3.65,1.61,[-1],[+1],2.5/2.5,2.02,1.7,1.5/1.5,2.88,1.36,2.31,0.09,0.04,3.19,0.12,0.04,2.92,0.12,0.04,211,40%,29%,31%,2,2,4,2,4,6,D,H,6.11
87,20190720,79,1.6,3.8,4.25,2.1,2.35,4.4,NaN,NaN,NaN,NaN,2.65,3.5,2.15,[-1],[+1],2.5/3.0,1.77,1.93,1.5/1.5,2.4,1.5,1.74,0.08,0.04,3.79,0.19,0.05,4.2,0.31,0.07,89,60%,23%,18%,0,1,0,2,1,2,A,A,8
88,20190720,79,2.68,3.5,2.15,3.2,2.25,2.7,1.82,2,[+0.0/+0.5],[-0.0/-0.5],1.6,4,3.95,[+1],[-1],2.5/2.5,1.55,2.29,1.0/1.5,1.92,1.78,2.96,0.14,0.05,3.67,0.23,0.06,2.15,0.1,0.05,5,40%,0%,60%,1,1,1,2,2,3,D,A,6.63
89,20190720,79,1.95,3.55,3.05,2.5,2.3,3.4,1.79,2.04,[+0.0/-0.5],[-0.0/+0.5],3.45,3.8,1.74,[-1],[+1],2.5/2.5,1.6,2.19,1.0/1.5,1.95,1.75,1.83,0.1,0.06,3.75,0.24,0.06,3.83,0.38,0.1,69,64%,16%,20%,0,0,1,1,0,2,D,D,7.58
90,20190720,79,2.85,3.6,2.02,3.45,2.25,2.55,NaN,NaN,NaN,NaN,1.68,3.9,3.6,[+1],[-1],2.5/3.0,1.68,2.05,1.5/1.5,2.3,1.54,2.69,0.2,0.08,3.63,0.2,0.05,2.33,0.17,0.07,13,31%,8%,62%,1,2,1,3,3,4,A,A,6.33
91,20190720,124,3.1,3.15,2.08,3.8,2,2.75,NaN,NaN,NaN,NaN,1.63,3.6,4.2,[+1],[-1],2.5/2.5,2.02,1.7,1.5/1.5,2.92,1.35,2.72,0.17,0.06,3.16,0.13,0.04,2.46,0.11,0.04,114,25%,32%,43%,0,0,0,0,0,0,D,D,5.88
92,20190720,124,1.34,4.25,7,1.82,2.35,6.5,NaN,NaN,NaN,NaN,2.07,3.4,2.85,[-1],[+1],2.5/2.5,1.7,2.02,1.5/1.5,2.45,1.48,1.43,0.03,0.02,4.14,0.23,0.06,6.75,0.56,0.08,17,82%,12%,6%,3,0,4,2,3,6,H,H,10.89
93,20190721,87,1.66,3.65,4.05,2.25,2.15,4.6,2.03,1.81,[-0.5/-1.0],[+0.5/+1.0],2.85,3.45,2.05,[-1],[+1],3.5/3.5,3.1,1.31,1.0/1.5,2.3,1.54,2.26,0.07,0.03,3.17,0.07,0.02,2.87,0.07,0.03,130,37%,25%,38%,2,0,3,1,2,4,H,H,6.04
94,20190721,87,3.05,3.15,2.1,3.9,1.92,2.85,1.88,1.96,[+0.0/+0.5],[-0.0/-0.5],1.63,3.55,4.3,[+1],[-1],2.5/2.5,2.25,1.57,1.5/1.5,3.6,1.24,2.83,0.18,0.06,3.06,0.1,0.03,2.44,0.2,0.08,183,24%,34%,42%,0,2,0,3,2,3,A,A,5.9
95,20190721,87,2.35,3,2.75,3.25,1.83,3.65,1.76,2.1,[+0.0/+0.0],[-0.0/-0.0],5.2,3.7,1.5,[-1],[+1],2.5/2.5,2.5,1.46,1.5/1.5,4,1.2,2.29,0.08,0.04,2.96,0.08,0.03,3.17,0.14,0.05,141,43%,27%,30%,0,0,1,0,0,1,D,H,6.13
96,20190721,88,2.77,2.97,2.35,3.65,1.9,3.05,NaN,NaN,NaN,NaN,1.5,3.8,5.05,[+1],[-1],2.5/2.5,2.19,1.6,1.5/1.5,3.4,1.27,2.75,0.07,0.02,3.1,0.1,0.03,2.48,0.06,0.03,38,26%,42%,32%,1,0,2,0,1,2,H,H,5.85
97,20190721,88,1.72,3.15,4.4,2.35,2,4.9,NaN,NaN,NaN,NaN,3.2,3.25,1.97,[-1],[+1],2.5/2.5,2.15,1.62,1.5/1.5,3.3,1.28,1.81,0.05,0.03,3.34,0.12,0.04,4.21,0.27,0.07,29,59%,21%,21%,0,1,1,2,1,3,A,A,7.55
98,20190721,88,1.8,3.45,3.6,2.4,2.22,3.85,NaN,NaN,NaN,NaN,3.15,3.7,1.85,[-1],[+1],2.5/2.5,1.62,2.15,1.5/1.5,2.55,1.45,1.79,0.05,0.03,3.59,0.13,0.04,3.95,0.28,0.07,15,40%,40%,20%,0,1,2,1,1,3,A,H,7.54
99,20190721,144,1.95,3.45,3.1,2.5,2.25,3.5,1.8,1.97,[+0.0/-0.5],[-0.0/+0.5],3.65,3.7,1.71,[-1],[+1],2.5/3.0,1.85,1.85,1.5/2.0,3.02,1.33,2.08,0.05,0.03,3.41,0.1,0.03,3.25,0.15,0.05,11,46%,27%,27%,0,1,2,3,1,5,A,A,6.67
100,20190721,58,1.39,3.8,7.1,1.93,2.17,6.7,1.87,1.97,[-1.0/-1.0],[+1.0/+1.0],2.33,3.15,2.62,[-1],[+1],3.5/3.5,3.6,1.24,1.5/1.5,2.82,1.37,1.51,0.07,0.05,3.92,0.32,0.08,6.02,0.46,0.08,16,75%,19%,6%,1,0,1,0,1,1,H,H,9.94
101,20190721,58,1.21,5,10.5,1.65,2.52,8,NaN,NaN,NaN,NaN,1.75,3.6,3.6,[-1],[+1],2.5/3.0,1.77,1.93,1.5/1.5,2.3,1.54,1.28,0.06,0.05,5.21,0.54,0.1,8.99,1.28,0.14,16,69%,6%,25%,1,1,1,1,2,2,D,D,14.2
102,20190721,122,1.23,4.65,10.5,1.72,2.3,9,NaN,NaN,NaN,NaN,1.85,3.4,3.4,[-1],[+1],2.5/2.5,1.85,1.85,1.5/1.5,2.7,1.4,1.29,0.04,0.03,4.77,0.35,0.07,10.38,1.45,0.14,10,70%,20%,10%,2,1,2,1,3,3,H,H,15.15
103,20190721,56,3.05,3,2.17,4.1,1.9,2.8,1.85,1.99,[+0.0/+0.5],[-0.0/-0.5],1.58,3.65,4.5,[+1],[-1],2.5/2.5,2.25,1.57,1.5/1.5,3.3,1.28,2.81,0.21,0.08,2.99,0.1,0.03,2.59,0.2,0.08,51,29%,37%,33%,0,0,0,1,0,1,D,A,5.8
104,20190721,36,1.97,3.35,3.15,2.55,2.15,3.7,NaN,NaN,NaN,NaN,3.7,3.65,1.71,[-1],[+1],2.5/2.5,1.75,1.95,1.5/1.5,2.55,1.45,1.96,0.1,0.05,3.47,0.11,0.03,3.4,0.24,0.07,1,0%,100%,0%,1,2,1,2,3,3,A,A,6.87
105,20190721,58,1.48,3.75,5.5,2,2.25,5.5,1.77,2.09,[-0.5/-1.0],[+0.5/+1.0],2.48,3.3,2.38,[-1],[+1],2.5/2.5,1.77,1.93,1.5/1.5,2.55,1.45,1.7,0.07,0.04,3.65,0.17,0.05,4.58,0.34,0.07,62,50%,26%,24%,2,0,3,0,2,3,H,H,8.23
106,20190721,122,1.73,3,4.7,2.5,1.85,5.3,2.14,1.73,[-0.5/-1.0],[+0.5/+1.0],3.35,3.15,1.95,[-1],[+1],2.0/2.5,2.25,1.57,1.5/1.5,3.7,1.23,1.75,0.07,0.04,3.26,0.16,0.05,4.86,0.31,0.06,28,64%,21%,14%,0,0,-,,0,0,D,H,8.12
107,20190721,59,1.34,4.15,7.3,1.82,2.3,7,2.04,1.81,[-1.0/-1.5],[+1.0/+1.5],2.15,3.25,2.8,[-1],[+1],2.5/2.5,1.8,1.9,1.5/1.5,2.6,1.43,1.47,0.07,0.05,4.16,0.23,0.05,6.38,0.89,0.14,31,71%,23%,7%,0,0,2,1,0,3,D,H,10.54
108,20190721,124,1.46,3.85,5.6,2,2.25,5.4,1.73,2.14,[-0.5/-1.0],[+0.5/+1.0],2.42,3.3,2.42,[-1],[+1],2.5/2.5,1.8,1.9,1.5/1.5,2.6,1.43,1.57,0.04,0.03,3.76,0.17,0.04,5.29,0.35,0.07,42,57%,21%,21%,0,0,0,2,0,2,D,A,9.05
109,20190721,59,1.44,4.05,5.5,1.9,2.42,5.3,1.92,1.92,[-1.0/-1.0],[+1.0/+1.0],2.32,3.45,2.45,[-1],[+1],2.5/3.0,1.75,1.95,1.5/1.5,2.29,1.55,1.47,0.06,0.04,4.23,0.22,0.05,6.12,0.58,0.09,37,70%,22%,8%,1,0,2,1,1,3,H,H,10.35
110,20190721,122,5.25,3.55,1.54,5.5,2.1,2.13,NaN,NaN,NaN,NaN,2.22,3.35,2.65,[+1],[-1],2.5/2.5,1.93,1.77,1.5/1.5,2.82,1.37,6.25,0.74,0.12,3.94,0.24,0.06,1.5,0.05,0.04,5,0%,40%,60%,0,1,0,2,1,2,A,A,10.2
111,20190721,56,1.42,3.75,6.5,1.98,2.1,6.75,NaN,NaN,NaN,NaN,2.42,3.15,2.52,[-1],[+1],2.5/2.5,2.02,1.7,1.5/1.5,2.92,1.35,1.62,0.07,0.04,3.68,0.22,0.06,5.27,0.35,0.07,63,60%,29%,11%,2,0,2,2,2,4,H,D,8.96
112,20190721,56,2.63,2.75,2.63,3.55,1.77,3.55,NaN,NaN,NaN,NaN,6.4,3.8,1.41,[-1],[+1],2.5/2.5,2.7,1.4,1.5/1.5,3.8,1.22,2.71,0.13,0.05,2.92,0.1,0.04,2.72,0.13,0.05,28,46%,36%,18%,0,0,1,1,0,2,D,D,5.64
113,20190721,79,1.38,4.3,6,1.85,2.45,5.55,1.8,2.03,[-1.0/-1.0],[+1.0/+1.0],2.15,3.55,2.62,[-1],[+1],2.5/3.0,1.63,2.13,1.5/1.5,2.22,1.58,1.56,0.05,0.03,4.17,0.2,0.05,5.12,0.42,0.08,39,59%,28%,13%,0,0,2,0,0,2,D,H,9.29
114,20190721,56,1.85,3.1,3.85,2.5,1.95,4.7,NaN,NaN,NaN,NaN,3.65,3.35,1.8,[-1],[+1],2.5/2.5,2.3,1.54,1.5/1.5,3.4,1.27,2.17,0.13,0.06,3.07,0.1,0.03,3.44,0.27,0.08,94,52%,30%,18%,0,0,0,0,0,0,D,D,6.51
115,20190721,79,2.9,3.55,2.02,3.35,2.25,2.6,NaN,NaN,NaN,NaN,1.68,3.85,3.7,[+1],[-1],2.5/3.0,1.73,1.98,1.5/1.5,2.35,1.52,2.54,0.26,0.1,3.54,0.19,0.05,2.52,0.26,0.1,30,40%,27%,33%,0,1,0,2,1,2,A,A,6.08
116,20190721,93,2.25,3.1,2.8,2.9,2,3.5,NaN,NaN,NaN,NaN,4.65,3.75,1.54,[-1],[+1],2.5/2.5,2,1.72,1.5/1.5,2.97,1.34,2.14,0.07,0.03,3.15,0.15,0.05,3.06,0.18,0.06,8,63%,13%,25%,1,1,1,2,2,3,D,A,6.22
117,20190721,72,1.75,3.9,3.35,2.15,2.45,3.85,1.62,2.24,[+0.0/-0.5],[-0.0/+0.5],3,3.65,1.9,[-1],[+1],3.0/3.5,1.88,1.82,1.5/1.5,2.05,1.68,1.87,0.08,0.05,3.75,0.17,0.04,3.38,0.25,0.07,4,0%,75%,25%,1,1,1,2,2,3,D,A,7.13
118,20190721,79,2.1,3.45,2.8,2.7,2.17,3.35,1.95,1.89,[+0.0/-0.5],[-0.0/+0.5],3.9,3.85,1.63,[-1],[+1],2.5/3.0,1.78,1.92,1.5/2.0,3,1.33,2.12,0.1,0.05,3.61,0.16,0.04,3.04,0.14,0.05,52,46%,25%,29%,0,1,0,1,1,1,A,A,6.66
119,20190721,124,1.86,3.2,3.65,2.45,2.05,4.3,1.74,2.13,[+0.0/-0.5],[-0.0/+0.5],3.6,3.4,1.8,[-1],[+1],2.5/2.5,2.02,1.7,1.5/1.5,2.92,1.35,2.1,0.09,0.04,3.18,0.13,0.04,3.33,0.2,0.06,178,51%,23%,26%,1,0,3,0,1,3,H,H,6.51
120,20190721,93,2.75,3.3,2.18,3.4,2.1,2.8,NaN,NaN,NaN,NaN,1.57,3.9,4.2,[+1],[-1],2.5/2.5,1.73,1.98,1.5/1.5,2.55,1.45,2.36,0.06,0.02,3.28,0.1,0.03,2.61,0.04,0.02,3,0%,100%,0%,1,1,1,2,2,3,D,A,5.89
121,20190721,79,1.82,3.6,3.4,2.35,2.3,3.75,1.71,2.18,[+0.0/-0.5],[-0.0/+0.5],3.15,3.7,1.85,[-1],[+1],3.5/3.5,2.5,1.46,1.5/2.0,2.92,1.35,1.9,0.07,0.04,3.68,0.22,0.06,3.59,0.18,0.05,66,56%,17%,27%,0,1,1,2,1,3,A,A,7.27
122,20190722,58,3.3,2.9,2.1,4.2,1.84,2.9,1.94,1.9,[+0.0/+0.5],[-0.0/-0.5],1.62,3.5,4.45,[+1],[-1],2.5/2.5,2.35,1.52,1.5/1.5,3.3,1.28,3.38,0.18,0.05,3.03,0.11,0.04,2.19,0.08,0.04,1,0%,0%,100%,0,0,0,1,0,1,D,A,6.41
123,20190722,58,1.4,4.2,5.8,1.86,2.4,5.7,2.07,1.78,[-1.0/-1.5],[+1.0/+1.5],2.2,3.5,2.58,[-1],[+1],2.5/3.0,1.65,2.1,1.5/1.5,2.15,1.62,1.48,0.04,0.03,4.4,0.22,0.05,5.57,0.42,0.08,7,86%,14%,0%,4,1,5,2,5,7,H,H,9.97
124,20190722,56,1.38,3.75,7.5,1.96,2.1,7,1.89,1.95,[-1.0/-1.0],[+1.0/+1.0],2.4,3.05,2.6,[-1],[+1],2.5/2.5,2.13,1.63,1.5/1.5,3.07,1.32,1.44,0.06,0.04,3.9,0.25,0.06,7.94,1.12,0.14,6,83%,17%,0%,0,0,4,0,0,4,D,H,11.84
125,20190723,72,2.07,3.6,2.75,2.55,2.3,3.3,1.87,1.89,[+0.0/-0.5],[-0.0/+0.5],3.7,4.1,1.63,[-1],[+1],3.5/3.5,2.4,1.5,1.5/2.0,2.65,1.42,2.27,0.13,0.06,3.47,0.14,0.04,2.76,0.18,0.06,15,40%,33%,27%,0,1,1,2,1,3,A,A,6.22
126,20190723,7,2.3,3.05,2.78,3.05,1.95,3.5,1.73,2.06,[+0.0/+0.0],[-0.0/-0.0],4.75,3.9,1.51,[-1],[+1],2.5/2.5,2.05,1.68,1.5/1.5,3.05,1.32,2.52,0.1,0.04,3.19,0.12,0.04,2.62,0.12,0.05,66,38%,32%,30%,1,1,2,2,2,4,D,D,5.81
127,20190723,6,2.33,2.95,2.82,3,1.9,3.7,2.07,1.72,[+0.0/-0.5],[-0.0/+0.5],4.9,3.8,1.51,[-1],[+1],2.5/2.5,2.25,1.57,1.5/1.5,3.3,1.28,2.43,0.08,0.03,3.16,0.11,0.04,2.8,0.1,0.04,27,56%,22%,22%,0,0,0,0,0,0,D,D,5.95
128,20190723,6,1.5,3.7,5.3,2,2.25,5.4,1.73,2.06,[-0.5/-1.0],[+0.5/+1.0],2.52,3.35,2.32,[-1],[+1],3.5/3.5,3.1,1.31,1.5/1.5,2.6,1.43,1.65,0.1,0.06,3.67,0.21,0.06,4.95,0.64,0.13,23,35%,57%,9%,1,1,3,2,2,5,D,H,8.62
129,20190723,6,9.25,4.75,1.24,7.5,2.5,1.68,NaN,NaN,NaN,NaN,3.4,3.65,1.78,[+1],[-1],2.5/2.5,1.62,2.15,1.5/1.5,2.4,1.5,7.47,1.25,0.17,4.88,0.3,0.06,1.34,0.05,0.04,6,17%,17%,67%,0,1,0,2,1,2,A,A,12.35
130,20190723,36,1.23,5,9,1.67,2.55,7.25,NaN,NaN,NaN,NaN,1.77,3.65,3.45,[-1],[+1],2.5/3.0,1.72,2,1.5/1.5,2.29,1.55,1.53,0.09,0.06,4.12,0.29,0.07,5.19,0.83,0.16,4,75%,25%,0%,2,0,3,0,2,3,H,H,9.32
131,20190723,106,2.85,2.8,2.42,3.7,1.82,3.25,NaN,NaN,NaN,NaN,1.48,3.7,5.5,[+1],[-1],2.0/2.5,2.2,1.59,1.5/1.5,3.7,1.23,2.39,0.22,0.09,3.03,0.19,0.06,2.98,0.28,0.1,30,37%,47%,17%,0,0,1,0,0,1,D,H,6.02
132,20190723,71,1.67,3.05,5.1,2.45,1.9,5.15,2.02,1.76,[-0.5/-1.0],[+0.5/+1.0],3.25,3.1,2.02,[-1],[+1],2.5/2.5,2.5,1.46,1.5/1.5,3.45,1.26,1.68,0.1,0.06,3.4,0.21,0.06,5.31,0.58,0.11,19,42%,16%,42%,0,0,0,0,0,0,D,D,8.72
133,20190723,144,1.88,3.75,3.05,2.37,2.45,3.35,1.75,2.04,[+0.0/-0.5],[-0.0/+0.5],3.25,3.85,1.78,[-1],[+1],2.5/2.5,1.42,2.65,1.0/1.5,1.73,1.98,2.05,0.07,0.03,3.74,0.14,0.04,3.12,0.13,0.04,0,0%,0%,0%,0,2,2,2,2,4,A,D,6.85
134,20190723,71,4.6,2.95,1.77,5.3,1.85,2.5,1.66,2.17,[+0.5/+1.0],[-0.5/-1.0],1.88,3.1,3.65,[+1],[-1],1.5/2.0,1.7,2.02,0.5/1.0,1.85,1.85,3.57,0.47,0.13,3.25,0.17,0.05,2.05,0.18,0.09,9,11%,11%,78%,2,1,2,2,3,4,H,D,6.83
