Pkey,Label,PlasticType,PlasticID,PlasticShape,Area,Perim.,Length,FeretX,FeretY,FeretAngle,MinFeret,Location
163,LFS_Y3_S05,PET,PET_1,Fragment,26616.48,628.837,244.306,3180.8,3351.2,54.462,165.169,LFS
164,LFS_Y3_S05,PET,PET_2,Fibre,31455.84,1612.255,742.811,8633.6,8406.4,55.008,185.712,LFS
165,LFS_Y3_S05,PET,PET_3,Fragment,20970.56,605.309,269.426,7497.6,8065.6,108.435,113.6,LFS
166,LFS_Y3_S05,PP,PP_1,Fragment,9678.72,354.582,165.599,6475.2,908.8,120.964,85.2,LFS
167,LFS_Y3_S05,PP,PP_2,Fragment,9678.72,354.582,152.939,7298.8,1136,111.801,85.2,LFS
168,LFS_Y3_S05,PP,PP_3,Fragment,15324.64,524.982,242.65,3379.6,3635.2,69.444,85.2,LFS
169,LFS_Y3_S05,PP,PP_4,Fragment,6452.48,257.618,120.491,8065.6,3606.8,45,85.2,LFS
170,LFS_Y3_S05,PP,PP_5,Fragment,39521.44,846.291,323.81,1164.4,4061.2,105.255,177.985,LFS
171,LFS_Y3_S05,PP,PP_6,Fragment,11291.84,411.382,179.617,5282.4,4203.2,108.435,85.2,LFS
172,LFS_Y3_S05,PP,PP_7,Fibre,125016.8,5269.311,2468.118,284,4373.6,106.955,190.674,LFS
173,LFS_Y3_S05,PP,PP_8,Fragment,30649.28,789.491,285.416,3436.4,4430.4,95.711,188.629,LFS
174,LFS_Y3_S05,PP,PP_9,Fragment,4839.36,217.455,102.398,5424.4,5254,123.69,56.8,LFS
175,LFS_Y3_S05,PP,PP_10,Fragment,4839.36,240.982,102.398,6986.4,5765.2,33.69,80.327,LFS
176,LFS_Y3_S07,PET,PET_1,Fibre,45167.36,1712.0656,807.412,316,92,74.932,4.581,LFS
177,LFS_Y3_S07,PET,PET_2,Fibre,59685.44,1993.2256,850.8072,249,127,142.306,10.733,LFS
178,LFS_Y3_S07,PET,PET_3,Fibre,95174.08,5674.9732,2746.138,293,338,65.45,13.5,LFS
179,LFS_Y3_S07,PET,PET_4,Fibre,104852.8,5003.1428,2386.026,157,301,98.13,22.082,LFS
180,LFS_Y3_S07,PET,PET_5,Fibre,49200.16,2986.3736,1327.6148,264,324,40.426,10.956,LFS
181,LFS_Y3_S07,PP,PP_1,Fragment,9678.72,491.709,206.755,6446.8,284,74.055,85.2,LFS
182,LFS_Y3_S07,PP,PP_2,Fragment,12098.4,411.382,179.617,2556,568,108.435,85.2,LFS
183,LFS_Y3_S07,PP,PP_3,Fragment,54039.52,1829.71,579.249,653.2,4742.8,168.69,319.128,LFS
184,LFS_Y3_S07,PP,PP_4,Fragment,19357.44,749.328,267.925,2385.6,8946,57.995,160.655,LFS
185,LFS_Y3_S07,PP,PP_5,Fragment,6452.48,378.109,127.009,3692,9372,116.565,107.832,LFS
186,LFS_Y3_S12,PE,PE_1,Fragment,20164,498.6,204.795,3266,3777.2,33.69,160.655,LFS
187,LFS_Y3_S12,PET,PET_1,Fibre,27423.04,1962.801,983.014,4913.2,2300.4,56.31,363.678,LFS
188,LFS_Y3_S12,PET,PET_2,Fibre,87915.04,2925.546,1328.803,4089.6,4515.6,12.265,140.958,LFS
189,LFS_Y3_S12,PET,PET_3,Fibre,29842.72,1428.073,666.899,2186.8,5765.2,13.241,217.842,LFS
190,LFS_Y3_S12,PET,PET_4,Fibre,62105.12,2277.219,1039.138,1675.6,9258.4,42.274,337.685,LFS
191,LFS_Y3_S12,PP,PP_1,Fragment,20970.56,628.837,279.708,1817.6,1505.2,66.038,126.709,LFS
192,LFS_Y3_S12,PP,PP_2,Fragment,3226.24,160.655,80.327,3748.8,2130,135,56.8,LFS
193,LFS_Y3_S12,PP,PP_3,Fragment,6452.48,257.618,120.491,6162.8,3237.6,45,85.2,LFS
194,LFS_Y3_S12,PP,PP_4,Fragment,9678.72,411.382,190.513,8775.6,3919.2,63.435,85.2,LFS
195,LFS_Y3_S12,PP,PP_5,Fragment,78236.32,1200.873,457.936,9372,4572.4,97.125,281.023,LFS
196,LFS_Y3_S12,PP,PP_6,Fragment,20970.56,605.309,261.835,2783.2,4856.4,77.471,113.6,LFS
197,LFS_Y3_S12,PP,PP_7,Fragment,10485.28,378.109,152.939,766.8,4799.6,68.199,113.6,LFS
198,LFS_Y3_S12,PP,PP_8,Fragment,6452.48,257.618,120.491,4430.4,5055.2,45,85.2,LFS
199,LFS_Y3_S12,PP,PP_9,Fragment,56459.2,903.091,307.193,8122.4,6248,123.69,255.6,LFS
200,LFS_Y3_S12,PP,PP_10,Fragment,15324.64,451.546,181.849,8463.2,6588.8,38.66,142,LFS
201,LFS_Y3_S12,PP,PP_11,Fragment,8872.16,337.946,160.655,1164.4,7270.4,45,100.409,LFS
202,LFS_Y3_S12,PP,PP_12,Fragment,9678.72,378.109,152.939,4629.2,9457.2,68.199,113.6,LFS
203,LFS_Y3_S12,PP,PP_13,Fragment,86301.92,1250.782,458.816,3663.6,9457.2,158.199,298.968,LFS
204,SK_S01,PE,PE_1,Fragment,20970.56,572.037,234.192,2101.6,1817.6,104.036,142,SK
205,SK_S01,PET,PET_1,Fibre,57265.76,3917.038,1972.342,4231.6,1874.4,122.196,620.413,SK
206,SK_S01,PET,PET_2,Fibre,30649.28,1819.965,849.258,8292.8,2442.4,35.311,162.007,SK
207,SK_S01,PET,PET_3,Fibre,21777.12,1094.164,512.968,2698,4146.4,36.254,88.081,SK
208,SK_S01,PET,PET_4,Fibre,119370.88,3357.601,2376.169,6020.8,7497.6,37.747,460.283,SK
209,SK_S01,PP,PP_1,Fragment,10485.28,354.582,165.599,8605.2,3976,59.036,85.2,SK
210,SK_S01,PP,PP_2,Fragment,8065.6,297.782,142,3322.8,5254,53.13,85.2,SK
211,SK_S01,PP,PP_3,Fragment,27423.04,652.364,284,6049.2,6617.2,53.13,160.655,SK
212,SK_S01,PP,PP_4,Fragment,6452.48,297.782,142,4828,7071.6,53.13,80.327,SK
213,SK_S01,PP,PP_5,Fragment,17744.32,548.509,234.192,5822,7213.6,75.964,113.6,SK
214,SK_S01,PP,PP_6,Fragment,6452.48,257.618,120.491,6617.2,8122.4,45,85.2,SK
215,SK_S01,PP,PP_7,Fragment,8065.6,297.782,127.009,2300.4,8491.6,116.565,85.2,SK
216,SK_S01,PP,PP_8,Fragment,6452.48,274.255,127.009,6049.2,10082,116.565,56.8,SK
217,SK_S02,PE,PE_1,Fragment,5645.92,274.255,127.009,6986.4,7384,63.435,56.8,SK
218,SK_S02,PET,PET_1,Fragment,4032.8,217.455,102.398,7384,2982,33.69,56.8,SK
219,SK_S02,PET,PET_2,Fragment,8872.16,314.418,142,6333.2,3322.8,53.13,85.2,SK
220,SK_S02,PET,PET_3,Fragment,2419.68,160.655,80.327,9514,3635.2,45,56.8,SK
221,SK_S02,PET,PET_4,Fragment,11291.84,354.582,142,8065.6,3862.4,126.87,113.6,SK
222,SK_S02,PET,PET_5,Fragment,8872.16,434.909,200.818,9514,5112,45,89.065,SK
223,SK_S02,PET,PET_6,Fibre,20164,909.982,426,10366,6049.2,36.87,101.7,SK
224,SK_S02,PET,PET_7,Fragment,3226.24,217.455,102.398,3436.4,6049.2,56.31,56.8,SK
225,SK_S02,PET,PET_8,Fragment,28229.6,605.309,228.968,7724.8,9514,60.255,170.4,SK
226,SK_S02,PP,PP_1,Fragment,4839.36,274.255,117.096,6759.2,2896.8,104.036,56.8,SK
227,SK_S02,PP,PP_2,Fragment,5645.92,257.618,120.491,3124,4004.4,135,85.2,SK
228,SK_S02,PP,PP_3,Fragment,5645.92,240.982,102.398,6901.2,4515.6,123.69,85.2,SK
229,SK_S02,PP,PP_4,Fragment,22583.68,709.164,301.896,7838.4,5566.4,131.186,170.708,SK
230,SK_S02,PP,PP_5,Fragment,34682.08,789.491,323.81,710,5850.4,105.255,168.952,SK
231,SK_S02,PP,PP_6,Fragment,6452.48,257.618,120.491,10025.2,6276.4,45,85.2,SK
232,SK_S02,PP,PP_7,Fragment,4032.8,240.982,102.398,6532,7270.4,33.69,76.248,SK
233,SK_S02,PP,PP_8,Fragment,3226.24,200.818,102.398,2385.6,7270.4,33.69,56.8,SK
234,SK_S02,PP,PP_9,Fragment,4032.8,274.255,117.096,6418.4,7440.8,104.036,56.8,SK
235,SK_S02,PP,PP_10,Fragment,34682.08,772.855,331.198,1647.2,7923.6,120.964,173.444,SK
236,SK_S02,PP,PP_11,Fragment,17744.32,548.509,234.192,5878.8,8491.6,75.964,113.6,SK
237,SK_S02,PP,PP_12,Fragment,8872.16,337.946,142,4544,9059.6,36.87,113.6,SK
238,SK_S03,PET,PET_1,Fibre,23390.24,1167.601,523.67,4402,3408,49.399,138.868,SK
239,SK_S03,PET,PET_2,Fibre,54846.08,2347.801,819.673,1164.4,4856.4,165.964,325.986,SK
240,SK_S03,PET,PET_3,Fibre,39521.44,2250.837,772.564,3862.4,7582.8,143.973,328.844,SK
241,SK_S03,PP,PP_1,Fragment,6452.48,314.418,142,7810,4856.4,126.87,85.2,SK
242,SK_S08,PET,PET_1,Fragment,6452.48,434.909,179.617,937.2,4004.4,71.565,56.8,SK
243,SK_S08,PET,PET_2,Fragment,15324.64,775.709,351.289,2783.2,4174.8,104.036,83.635,SK
244,SK_S08,PET,PET_3,Fragment,2419.68,160.655,80.327,2357.2,5452.8,135,56.8,SK
245,SK_S08,PET,PET_4,Fragment,4032.8,274.255,127.009,2414,5538,153.435,56.8,SK
246,SK_S08,PET,PET_5,Fragment,12098.4,709.164,269.426,8747.2,7043.2,108.435,127.081,SK
247,SK_S08,PP,PP_1,Fragment,125016.8,1515.292,585.481,2101.6,7185.2,140.906,350.736,SK
248,SK_S08,PS,PS_1,Fragment,1613.12,137.127,63.504,2300.4,5765.2,116.565,28.4,SK
249,SK_S09,PE,PE_1,Fragment,15324.64,458.437,204.795,3351.2,1647.2,146.31,127.081,SK
250,SK_S09,PE,PE_2,Fragment,75010.08,1387.91,559.415,1789.2,3947.6,66.038,248.157,SK
251,SK_S09,PET,PET_1,Fragment,12904.96,615.055,289.624,5907.2,4260,101.31,56.8,SK
252,SK_S09,PET,PET_2,Fragment,9678.72,662.109,296.505,4515.6,5623.2,16.699,67.879,SK
253,SK_S09,PET,PET_3,Fragment,14518.08,548.509,242.65,5964,6844.4,69.444,85.2,SK
254,SK_S09,PP,PP_1,Fragment,5645.92,274.255,127.009,2840,2186.8,63.435,56.8,SK
255,SK_S09,PP,PP_2,Fragment,17744.32,572.037,216.288,9088,5907.2,156.801,113.6,SK
256,SK_S09,PP,PP_3,Fragment,3226.24,160.655,80.327,7895.2,6645.6,135,56.8,SK
257,SK_S09,PS,PS_1,Fragment,8872.16,354.582,152.939,9286.8,7270.4,111.801,85.2,SK
258,ZS_S01,PE,PE_1,Fragment,16131.2,675.891,244.306,9940,5736.8,54.462,140.573,ZS
259,ZS_S01,PE,PE_2,Fragment,18550.88,772.855,301.896,426,6560.4,48.814,120.491,ZS
260,ZS_S01,PET,PET_1,Fragment,10485.28,692.528,323.81,1420,3919.2,127.875,89.533,ZS
261,ZS_S01,PP,PP_1,Fragment,17744.32,508.346,228.968,6333.2,766.8,150.255,113.6,ZS
262,ZS_S01,PP,PP_2,Fragment,5645.92,257.618,102.398,5339.2,3521.6,123.69,85.2,ZS
263,ZS_S01,PP,PP_3,Fragment,5645.92,257.618,102.398,6787.6,4600.8,123.69,85.2,ZS
264,ZS_S01,PP,PP_4,Fragment,4839.36,240.982,102.398,5481.2,7469.2,123.69,80.327,ZS
265,ZS_S01,PP,PP_5,Fragment,4032.8,200.818,102.398,2868.4,8434.8,146.31,56.8,ZS
266,ZS_S01,PP,PP_6,Fragment,8872.16,354.582,152.939,4686,9996.8,111.801,85.2,ZS
267,ZS_S01,PS,PS_1,Fragment,12098.4,378.109,165.599,4657.6,880.4,149.036,113.6,ZS
268,ZS_S01,PS,PS_2,Fragment,20164,531.873,221.811,8122.4,1022.4,129.806,152.425,ZS
269,ZS_S01,PS,PS_3,Fragment,4032.8,200.818,102.398,1050.8,1846,146.31,56.8,ZS
270,ZS_S01,PS,PS_4,Fragment,30649.28,628.837,267.925,8576.8,2073.2,147.995,170.4,ZS
271,ZS_S01,PS,PS_5,Fragment,11291.84,361.473,152.939,7497.6,2470.8,158.199,113.6,ZS
272,ZS_S01,PS,PS_6,Fragment,5645.92,257.618,120.491,6077.6,3124,135,85.2,ZS
273,ZS_S01,PS,PS_7,Fragment,75816.64,1297.837,441.8,8747.2,4288.4,135,314.381,ZS
274,ZS_S01,PS,PS_8,Fragment,30649.28,716.055,292.396,7128.4,4402,150.945,177.913,ZS
275,ZS_S01,PS,PS_9,Fragment,40328,903.091,351.289,3180.8,4600.8,104.036,186.21,ZS
276,ZS_S01,PS,PS_10,Fragment,8065.6,378.109,142,1363.2,4629.2,143.13,85.2,ZS
277,ZS_S01,PS,PS_11,Fragment,18550.88,491.709,190.513,1732.4,4913.2,116.565,142,ZS
278,ZS_S01,PS,PS_12,Fragment,5645.92,240.982,120.491,6276.4,5225.6,135,80.327,ZS
279,ZS_S01,PS,PS_13,Fragment,15324.64,468.182,204.795,4089.6,5310.8,146.31,113.6,ZS
280,ZS_S01,PS,PS_14,Fragment,14518.08,418.273,190.513,2215.2,7497.6,153.435,113.6,ZS
281,ZS_S01,PS,PS_15,Fragment,1613.12,137.127,63.504,8718.8,7781.6,116.565,28.4,ZS
282,ZS_S01,PS,PS_16,Fragment,129049.6,1531.928,533.588,8548.4,7952,154.799,369.2,ZS
283,ZS_S01,PS,PS_17,Fragment,11291.84,354.582,160.655,6219.6,10082,135,113.6,ZS
284,ZS_S01,PS,PS_18,Fragment,28229.6,612.2,244.306,6333.2,10990.8,125.538,180.736,ZS
285,ZS_S03,PP,PP_1,Fragment,12904.96,394.746,165.599,9627.6,2698,59.036,113.6,ZS
286,ZS_S03,PP,PP_2,Fragment,4032.8,217.455,102.398,3692,4828,146.31,56.8,ZS
287,ZS_S03,PP,PP_3,Fragment,2419.68,160.655,80.327,6986.4,5907.2,135,56.8,ZS
288,ZS_S03,PP,PP_4,Fragment,4839.36,281.146,142,5396,6475.2,143.13,71.888,ZS
289,ZS_S03,PP,PP_5,Fragment,119370.88,2037.419,575.056,1420,8491.6,69.775,379.313,ZS
290,ZS_S03,PP,PP_6,Fragment,23390.24,652.364,267.925,1902.8,8974.4,57.995,165.241,ZS
291,ZS_S03,PP,PP_7,Fragment,6452.48,354.582,165.599,2272,9002.8,149.036,76.248,ZS
292,ZS_S03,PP,PP_8,Fragment,7259.04,401.637,200.818,7838.4,9798,135,79.546,ZS
293,ZS_S03,PS,PS_1,Fragment,79042.88,1401.692,413.51,4430.4,3180.8,105.945,340.8,ZS
294,ZS_S03,PS,PS_2,Fragment,240354.88,3217.62,1169.928,1022.4,5026.8,84.428,397.6,ZS
295,ZS_S03,PS,PS_3,Fragment,12098.4,394.746,181.849,2414,5083.6,128.66,113.6,ZS
296,ZS_S03,PS,PS_4,Fragment,161312,2080.437,785.505,8520,8094,49.399,381.1,ZS
297,ZS_S08,PET,PET_1,Fibre,123403.68,3886.62,1793.378,5254,8860.8,113.552,635.367,ZS
298,ZS_S08,PP,PP_1,Fragment,8872.16,394.746,165.599,7242,1306.4,120.964,110.404,ZS
299,ZS_S08,PS,PS_1,Fragment,47587.04,893.346,346.666,568,4373.6,124.992,220.9,ZS
300,ZS_S09,PP,PP_1,Fragment,20970.56,572.037,242.65,5339.2,852,110.556,139.753,ZS
301,ZS_S09,PP,PP_2,Fragment,18550.88,508.346,228.968,1931.2,2499.2,119.745,113.6,ZS
302,ZS_S09,PP,PP_3,Fragment,6452.48,297.782,127.009,2016.4,5651.6,116.565,85.2,ZS
303,ZS_S09,PP,PP_4,Fragment,12098.4,378.109,152.939,6276.4,8264.4,111.801,113.6,ZS
304,ZS_S09,PET,PET_1,Fibre,475870.4,19104.41,12105.241,3606.8,198.8,147.63,2075.685,ZS
305,ZS_S09,PET,PET_2,Fragment,16131.2,515.237,216.288,4998.4,0,156.801,113.6,ZS
306,ZS_S09,PET,PET_3,Fibre,39521.44,1682.837,750.319,8037.2,596.4,119.476,145.841,ZS
307,ZS_S09,PET,PET_4,Fragment,10485.28,378.109,165.599,3890.8,1448.4,120.964,113.6,ZS
308,ZS_S09,PET,PET_5,Fragment,13711.52,669,257.173,2385.6,2698,96.34,113.6,ZS
309,ZS_S09,PET,PET_6,Fragment,32262.4,1307.582,535.85,4742.8,3464.8,122.005,205.227,ZS
310,ZS_S09,PET,PET_7,Fragment,27423.04,1288.092,603.792,8832.4,3464.8,138.814,111.898,ZS
311,ZS_S09,PET,PET_8,Fragment,33875.52,1006.946,426,7128.4,3521.6,143.13,160.655,ZS
312,ZS_S09,PET,PET_9,Fragment,12904.96,628.837,279.708,2896.8,4004.4,156.038,89.614,ZS
313,ZS_S09,PET,PET_10,Fragment,39521.44,886.455,382.083,3919.2,4572.4,131.987,171.709,ZS
314,ZS_S09,PET,PET_11,Fragment,19357.44,669,261.835,10366,5055.2,167.471,130.791,ZS
315,ZS_S09,PET,PET_12,Fragment,11291.84,475.073,228.968,8832.4,5481.2,150.255,88.993,ZS
316,ZS_S09,PET,PET_13,Fibre,31455.84,1692.583,789.091,5566.4,5765.2,120.256,113.404,ZS
317,ZS_S09,PET,PET_14,Fibre,47587.04,2267.474,1273.809,9457.2,6588.8,66.801,304.994,ZS
318,ZS_S09,PET,PET_15,Fragment,14518.08,555.4,261.835,1817.6,6106,139.399,97.479,ZS
319,ZS_S09,PET,PET_16,Fragment,16937.76,468.182,204.795,5566.4,6162.8,123.69,113.6,ZS
320,ZS_S09,PET,PET_17,Fragment,2419.68,193.927,89.809,5310.8,6702.4,108.435,28.4,ZS
321,ZS_S09,PET,PET_18,Fragment,25809.92,836.546,401.637,9911.6,7071.6,135,117.396,ZS
322,ZS_S09,PET,PET_19,Fragment,28229.6,886.455,409.591,4203.2,7242,123.69,114.409,ZS
323,ZS_S09,PET,PET_20,Fragment,12098.4,595.564,284,3095.6,7440.8,126.87,91.047,ZS
324,ZS_S09,PET,PET_21,Fragment,13711.52,515.237,228.968,2328.8,8378,60.255,102.275,ZS
325,ZS_S09,PET,PET_22,Fibre,137921.76,4489.075,2368.731,8946,9485.6,53.13,709.131,ZS