"","SC_ID","Pkey","GLG","Weight","d15N","d13C","N_per","C_per","YOB","CalenderYear","CNRatio","CNR","Site","AgeClass","sample_per_ID","Net_d15N","Weaning","Species","Sex","Lat","Lon","TBL","Region"
"1","HKSC071109",41,1,2.225,17.2,-14.5,1.9,5,1982,1983,2.63157894736842,"U","HK","Juvenile",15,0,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"2","HKSC071109",42,2,2.022,14.4,-13.1,2.7,7.1,1982,1984,2.62962962962963,"U","HK","Juvenile",15,-2.8,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"3","HKSC071109",43,3,2.064,14.1,-13.1,6.1,16.7,1982,1985,2.73770491803279,"U","HK","Juvenile",15,-3.1,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"4","HKSC071109",44,4,2.086,13.6,-12.7,2.5,6.8,1982,1986,2.72,"U","HK","Juvenile",15,-3.6,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"5","HKSC071109",45,5,1.952,13.3,-12.9,2.6,7.1,1982,1987,2.73076923076923,"U","HK","Juvenile",15,-3.9,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"6","HKSC071109",46,6,1.935,13.2,-12.6,2.3,6.3,1982,1988,2.73913043478261,"U","HK","Juvenile",15,-4,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"7","HKSC071109",47,7,1.506,12.6,-13.1,2.5,7.1,1982,1989,2.84,"U","HK","Juvenile",15,-4.6,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"8","HKSC071109",48,8,1.606,13.7,-12.7,2.6,7.3,1982,1990,2.80769230769231,"U","HK","Juvenile",15,-3.5,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"9","HKSC071109",49,9,1.405,13.9,-12.6,2.7,7.5,1982,1991,2.77777777777778,"U","HK","Juvenile",15,-3.3,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"10","HKSC071109",50,10,1.005,13.3,-12.9,2.5,7,1982,1992,2.8,"U","HK","Juvenile",15,-3.9,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"11","HKSC071109",51,11,1.066,13.3,-12.9,2.5,7,1982,1993,2.8,"U","HK","Adult",15,-3.9,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"12","HKSC071109",52,12,0.908,12.7,-13.2,2.4,6.7,1982,1994,2.79166666666667,"U","HK","Adult",15,-4.5,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"13","HKSC071109",53,13,1.029,13.2,-13,2.3,6.5,1982,1995,2.82608695652174,"U","HK","Adult",15,-4,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"14","HKSC071109",54,14,0.87,12.9,-13.1,2.5,7,1982,1996,2.8,"U","HK","Adult",15,-4.3,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"15","HKSC071109",55,15,0.786,13.4,-12.7,2.6,7.1,1982,1997,2.73076923076923,"U","HK","Adult",15,-3.8,"Y","SC","Un","22.23369444","114.0211111","189","EPRE"
"16","HKSC101506",1,1,1.233,16.8,-15.6,2.3,7.2,1995,1996,3.1304347826087,"U","HK","Juvenile",12,0,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"17","HKSC101506",2,2,1.611,15.4,-15.8,2.4,7.5,1995,1997,3.125,"U","HK","Juvenile",12,-1.4,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"18","HKSC101506",3,3,1.189,14.8,-15.3,2.3,7,1995,1998,3.04347826086957,"U","HK","Juvenile",12,-2,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"19","HKSC101506",4,4,1.428,14.8,-14.7,2.2,6.6,1995,1999,3,"U","HK","Juvenile",12,-2,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"20","HKSC101506",5,5,1.216,14.4,-14.8,2.3,6.5,1995,2000,2.82608695652174,"U","HK","Juvenile",12,-2.4,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"21","HKSC101506",6,6,1.069,14.5,-14.2,2.4,6.8,1995,2001,2.83333333333333,"U","HK","Juvenile",12,-2.3,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"22","HKSC101506",7,7,1.292,14.3,-14.2,2.5,7,1995,2002,2.8,"U","HK","Juvenile",12,-2.5,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"23","HKSC101506",8,8,0.626,13.8,-13.8,2.7,7.8,1995,2003,2.88888888888889,"U","HK","Juvenile",12,-3,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"24","HKSC101506",9,9,1.437,14.2,-14.9,2.6,7.4,1995,2004,2.84615384615385,"U","HK","Juvenile",12,-2.6,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"25","HKSC101506",10,10,1.024,13.8,-15.5,2.7,7.6,1995,2005,2.81481481481481,"U","HK","Juvenile",12,-3,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"26","HKSC101506",11,11,0.974,14.2,-15.8,2.7,7.8,1995,2006,2.88888888888889,"U","HK","Adult",12,-2.6,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"27","HKSC101506",12,12,0.89,13.8,-16,2.6,7.5,1995,2007,2.88461538461538,"U","HK","Adult",12,-3,"Y","SC","M","22.21716667","113.9998611","264","EPRE"
"28","HKSC101908",141,1,0.672,13.9,-14.9,2.3,6,1992,1993,2.60869565217391,"U","HK","Juvenile",15,0,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"29","HKSC101908",142,2,0.627,11.8,-14.9,2.3,5.8,1992,1994,2.52173913043478,"U","HK","Juvenile",15,-2.1,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"30","HKSC101908",143,3,0.729,12.3,-14.5,2.3,6,1992,1995,2.60869565217391,"U","HK","Juvenile",15,-1.6,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"31","HKSC101908",144,4,0.803,12.5,-14.6,2.2,5.8,1992,1996,2.63636363636364,"U","HK","Juvenile",15,-1.4,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"32","HKSC101908",145,5,0.602,12.3,-14.6,2.3,6,1992,1997,2.60869565217391,"U","HK","Juvenile",15,-1.6,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"33","HKSC101908",146,6,0.609,10.4,-14.6,2.7,6.2,1992,1998,2.2962962962963,"U","HK","Juvenile",15,-3.5,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"34","HKSC101908",147,7,0.803,13.7,-15.3,2.3,6.2,1992,1999,2.69565217391304,"U","HK","Juvenile",15,-0.200000000000001,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"35","HKSC101908",148,8,0.667,14.3,-15.5,2.3,6.4,1992,2000,2.78260869565217,"U","HK","Juvenile",15,0.4,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"36","HKSC101908",149,9,0.773,14.5,-15.1,2.3,6.2,1992,2001,2.69565217391304,"U","HK","Juvenile",15,0.6,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"37","HKSC101908",150,10,0.549,14.8,-15.8,2.3,6.4,1992,2002,2.78260869565217,"U","HK","Juvenile",15,0.9,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"38","HKSC101908",151,11,0.483,14.5,-15.8,2.3,6.5,1992,2003,2.82608695652174,"U","HK","Adult",15,0.6,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"39","HKSC101908",152,12,0.552,15.4,-16.1,2.4,6.7,1992,2004,2.79166666666667,"U","HK","Adult",15,1.5,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"40","HKSC101908",153,13,0.59,15.7,-16.9,2.4,6.6,1992,2005,2.75,"U","HK","Adult",15,1.8,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"41","HKSC101908",154,14,0.542,14,-16.9,2.5,6.9,1992,2006,2.76,"U","HK","Adult",15,0.0999999999999996,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"42","HKSC101908",155,15,0.609,15.1,-16.5,2.5,7,1992,2007,2.8,"U","HK","Adult",15,1.2,"Y","SC","M","22.41066667","114.2140556","250","EPRE"
"43","HKSC102412B",72,1,1.242,17.8,-16,2.4,6.4,2003,2004,2.66666666666667,"U","HK","Juvenile",6,0,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"44","HKSC102412B",73,2,2.069,17.3,-15.4,2.7,7.3,2003,2005,2.7037037037037,"U","HK","Juvenile",6,-0.5,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"45","HKSC102412B",74,3,1.896,16.3,-15.1,2.8,7.5,2003,2006,2.67857142857143,"U","HK","Juvenile",6,-1.5,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"46","HKSC102412B",75,4,2.031,15.6,-16.3,2.8,7.7,2003,2007,2.75,"U","HK","Juvenile",6,-2.2,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"47","HKSC102412B",76,5,1.733,15.4,-16.2,3,8.3,2003,2008,2.76666666666667,"U","HK","Juvenile",6,-2.4,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"48","HKSC102412B",77,6,0.649,13.8,-16.4,3.3,8.8,2003,2009,2.66666666666667,"U","HK","Juvenile",6,-4,"Y","SC","M","22.32083333","113.9453056","201","EPRE"
"49","HKSC110602-2",470,1,2.31,16.1,-14,1.97,5.71,1988,1989,2.89847715736041,"U","HK","Juvenile",12,0,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"50","HKSC110602-2",471,2,1.964,13.1,-14.1,2.22,6.38,1988,1990,2.87387387387387,"U","HK","Juvenile",12,-3,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"51","HKSC110602-2",472,3,1.847,12.8,-14.5,2.06,6.17,1988,1991,2.99514563106796,"U","HK","Juvenile",12,-3.3,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"52","HKSC110602-2",473,4,1.865,12.5,-14.5,1.98,5.83,1988,1992,2.94444444444444,"U","HK","Juvenile",12,-3.6,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"53","HKSC110602-2",474,5,1.563,11.6,-14.4,2.14,6.36,1988,1993,2.97196261682243,"U","HK","Juvenile",12,-4.5,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"54","HKSC110602-2",475,6,2.323,11.6,-14.1,2.03,6.01,1988,1994,2.96059113300493,"U","HK","Juvenile",12,-4.5,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"55","HKSC110602-2",476,7,1.423,11.8,-14.9,2.11,6.91,1988,1995,3.27488151658768,"U","HK","Juvenile",12,-4.3,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"56","HKSC110602-2",477,8,1.262,12.7,-13.8,2.11,6.36,1988,1996,3.01421800947867,"U","HK","Juvenile",12,-3.4,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"57","HKSC110602-2",478,9,1.366,12.9,-14.1,2.17,6.36,1988,1997,2.93087557603687,"U","HK","Juvenile",12,-3.2,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"58","HKSC110602-2",479,10,1.462,12.4,-13.8,2.08,6.19,1988,1998,2.97596153846154,"U","HK","Juvenile",12,-3.7,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"59","HKSC110602-2",480,11,1.167,12.7,-14.3,2.19,6.69,1988,1999,3.05479452054795,"U","HK","Adult",12,-3.4,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"60","HKSC110602-2",481,12,1.271,12,-13.8,2.24,6.74,1988,2000,3.00892857142857,"U","HK","Adult",12,-4.1,"Y","SC","F","22.47833333","113.8933333","#N/A","EPRE"
"61","HKSC110607",13,1,2.623,16.1,-14.5,2.7,7.7,2005,2006,2.85185185185185,"U","HK","Juvenile",6,0,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"62","HKSC110607",14,2,1.608,13.6,-14.6,2.6,8.4,2005,2007,3.23076923076923,"U","HK","Juvenile",6,-2.5,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"63","HKSC110607",15,3,1.45,14.1,-14.1,2.8,7.8,2005,2008,2.78571428571429,"U","HK","Juvenile",6,-2,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"64","HKSC110607",16,4,0.895,14,-14.2,3.1,8.6,2005,2009,2.7741935483871,"U","HK","Juvenile",6,-2.1,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"65","HKSC110607",17,5,1.033,14.1,-14.6,3.2,8.8,2005,2010,2.75,"U","HK","Juvenile",6,-2,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"66","HKSC110607",18,6,1.435,14.1,-14.6,3.1,8.7,2005,2011,2.80645161290323,"U","HK","Juvenile",6,-2,"Y","SC","M","22.30211111","113.8981944","260","EPRE"
"67","HKSC120309",19,1,3.957,16.7,-14.4,2.2,6.3,1992,1993,2.86363636363636,"U","HK","Juvenile",8,0,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"68","HKSC120309",20,2,3.646,14.3,-14.4,2.3,6.5,1992,1994,2.82608695652174,"U","HK","Juvenile",8,-2.4,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"69","HKSC120309",21,3,3.516,14.2,-14.2,2.4,6.9,1992,1995,2.875,"U","HK","Juvenile",8,-2.5,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"70","HKSC120309",22,4,2.751,14,-14.2,2.2,6.3,1992,1996,2.86363636363636,"U","HK","Juvenile",8,-2.7,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"71","HKSC120309",23,5,2.083,14.1,-13.8,2.4,6.8,1992,1997,2.83333333333333,"U","HK","Juvenile",8,-2.6,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"72","HKSC120309",24,6,2.071,13.9,-14.2,2.3,6.6,1992,1998,2.8695652173913,"U","HK","Juvenile",8,-2.8,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"73","HKSC120309",25,7,1.425,13.7,-14,2.3,6.6,1992,1999,2.8695652173913,"U","HK","Juvenile",8,-3,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"74","HKSC120309",26,9,0.796,13.8,-13.8,2.5,7.1,1992,2001,2.84,"U","HK","Juvenile",8,-2.9,"Y","SC","F","22.41080556","113.8784722","260","EPRE"
"75","HKSC130403",61,1,1.737,15.6,-13.2,2.2,6,1996,1997,2.72727272727273,"U","HK","Juvenile",11,0,"Y","SC","F","22.32","113.9533333","236","EPRE"
"76","HKSC130403",62,2,2.999,14,-15.9,2.8,7.7,1996,1998,2.75,"U","HK","Juvenile",11,-1.6,"Y","SC","F","22.32","113.9533333","236","EPRE"
"77","HKSC130403",63,5,1.342,13.5,-13.5,2.7,7.4,1996,2001,2.74074074074074,"U","HK","Juvenile",11,-2.1,"Y","SC","F","22.32","113.9533333","236","EPRE"
"78","HKSC130403",64,6,1.164,13.1,-13.7,2.7,7.6,1996,2002,2.81481481481481,"U","HK","Juvenile",11,-2.5,"Y","SC","F","22.32","113.9533333","236","EPRE"
"79","HKSC130403",65,7,1.167,13.4,-13.4,2.7,7.6,1996,2003,2.81481481481481,"U","HK","Juvenile",11,-2.2,"Y","SC","F","22.32","113.9533333","236","EPRE"
"80","HKSC130403",66,8,1.152,13.8,-13.7,2.6,7.3,1996,2004,2.80769230769231,"U","HK","Juvenile",11,-1.8,"Y","SC","F","22.32","113.9533333","236","EPRE"
"81","HKSC130403",67,9,1.113,13.9,-13.5,2.6,7.3,1996,2005,2.80769230769231,"U","HK","Juvenile",11,-1.7,"Y","SC","F","22.32","113.9533333","236","EPRE"
"82","HKSC130403",68,10,0.95,13.6,-13.6,2.7,7.5,1996,2006,2.77777777777778,"U","HK","Juvenile",11,-2,"Y","SC","F","22.32","113.9533333","236","EPRE"
"83","HKSC130403",69,11,1.025,13.5,-14.2,2.7,7.4,1996,2007,2.74074074074074,"U","HK","Adult",11,-2.1,"Y","SC","F","22.32","113.9533333","236","EPRE"
"84","HKSC130403",70,12,0.571,13.1,-13.9,2.8,7.7,1996,2008,2.75,"U","HK","Adult",11,-2.5,"Y","SC","F","22.32","113.9533333","236","EPRE"
"85","HKSC130403",71,13,0.687,13.8,-14,2.7,7.4,1996,2009,2.74074074074074,"U","HK","Adult",11,-1.8,"Y","SC","F","22.32","113.9533333","236","EPRE"
"86","HKSC132405",86,1,1.17,15,-15.8,2.8,7.5,1997,1998,2.67857142857143,"U","HK","Juvenile",13,0,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"87","HKSC132405",87,2,1.903,13.9,-16.1,2.7,7.4,1997,1999,2.74074074074074,"U","HK","Juvenile",13,-1.1,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"88","HKSC132405",88,3,2.036,13.9,-16,2.5,7.1,1997,2000,2.84,"U","HK","Juvenile",13,-1.1,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"89","HKSC132405",89,4,2.035,13.7,-16.3,2.4,6.9,1997,2001,2.875,"U","HK","Juvenile",13,-1.3,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"90","HKSC132405",90,5,1.851,13.3,-16.4,2.6,7.4,1997,2002,2.84615384615385,"U","HK","Juvenile",13,-1.7,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"91","HKSC132405",91,6,1.321,12.7,-16.8,2.8,7.7,1997,2003,2.75,"U","HK","Juvenile",13,-2.3,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"92","HKSC132405",92,7,1.435,12.8,-16.8,2.7,7.6,1997,2004,2.81481481481481,"U","HK","Juvenile",13,-2.2,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"93","HKSC132405",93,8,1.507,13.4,-17.6,2.9,8,1997,2005,2.75862068965517,"U","HK","Juvenile",13,-1.6,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"94","HKSC132405",94,9,0.965,13.3,-16.9,2.9,8.1,1997,2006,2.79310344827586,"U","HK","Juvenile",13,-1.7,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"95","HKSC132405",95,10,1.514,13.7,-16.9,2.7,7.6,1997,2007,2.81481481481481,"U","HK","Juvenile",13,-1.3,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"96","HKSC132405",96,11,1.821,13.4,-16.9,1.2,3.5,1997,2008,2.91666666666667,"U","HK","Adult",13,-1.6,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"97","HKSC132405",97,12,0.468,12.4,-16.7,2.8,7.9,1997,2009,2.82142857142857,"U","HK","Adult",13,-2.6,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"98","HKSC132405",98,13,0.438,11.7,-17.1,2.9,8.6,1997,2010,2.96551724137931,"U","HK","Adult",13,-3.3,"Y","SC","M","22.40130556","113.9141667","246","EPRE"
"99","HKSC140407",496,1,2.585,15.9,-15.1,2.01,5.69,2002,2003,2.83084577114428,"U","HK","Juvenile",12,0,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"100","HKSC140407",497,2,1.439,14.1,-14.5,2.27,6.73,2002,2004,2.9647577092511,"U","HK","Juvenile",12,-1.8,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"101","HKSC140407",498,3,1.382,13.3,-15,2.11,5.99,2002,2005,2.83886255924171,"U","HK","Juvenile",12,-2.6,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"102","HKSC140407",499,4,1.275,13.6,-13.8,2.19,6.69,2002,2006,3.05479452054795,"U","HK","Juvenile",12,-2.3,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"103","HKSC140407",500,5,1.066,13.4,-14.4,2.05,6.25,2002,2007,3.04878048780488,"U","HK","Juvenile",12,-2.5,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"104","HKSC140407",501,6,0.886,12.5,-14.2,1.96,5.7,2002,2008,2.90816326530612,"U","HK","Juvenile",12,-3.4,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"105","HKSC140407",502,7,0.836,13.2,-14.7,2.08,6.4,2002,2009,3.07692307692308,"U","HK","Juvenile",12,-2.7,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"106","HKSC140407",503,8,1.692,13.9,-14.1,2.13,6.37,2002,2010,2.9906103286385,"U","HK","Juvenile",12,-2,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"107","HKSC140407",504,9,1.042,13.5,-13.6,2.14,6.55,2002,2011,3.0607476635514,"U","HK","Juvenile",12,-2.4,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"108","HKSC140407",505,10,0.96,13.6,-13.5,2.25,6.86,2002,2012,3.04888888888889,"U","HK","Juvenile",12,-2.3,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"109","HKSC140407",506,11,0.948,12.9,-13.9,2.25,6.79,2002,2013,3.01777777777778,"U","HK","Adult",12,-3,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"110","HKSC140407",507,12,0.8,12.7,-13.8,2.42,7.31,2002,2014,3.02066115702479,"U","HK","Adult",12,-3.2,"Y","SC","Un","22.22027778","113.8966667","250","EPRE"
"111","HKSC150505",190,1,1.044,16.6,-16.4,2.2,6.2,1997,1998,2.81818181818182,"U","HK","Juvenile",9,0,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"112","HKSC150505",191,2,0.879,14.3,-16.8,2.3,6.1,1997,1999,2.65217391304348,"U","HK","Juvenile",9,-2.3,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"113","HKSC150505",192,3,0.237,11.4,-18.5,1.9,6,1997,2000,3.15789473684211,"U","HK","Juvenile",9,-5.2,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"114","HKSC150505",193,4,0.555,12.9,-16.4,2,5.7,1997,2001,2.85,"U","HK","Juvenile",9,-3.7,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"115","HKSC150505",194,5,0.381,12.4,-18.4,2,5.9,1997,2002,2.95,"U","HK","Juvenile",9,-4.2,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"116","HKSC150505",195,6,1.284,13.8,-18,2.1,5.9,1997,2003,2.80952380952381,"U","HK","Juvenile",9,-2.8,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"117","HKSC150505",196,7,0.609,12.9,-17.3,2.1,6.1,1997,2004,2.9047619047619,"U","HK","Juvenile",9,-3.7,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
"118","HKSC150505",197,8,0.725,12.6,-17.9,2.2,6.1,1997,2005,2.77272727272727,"U","HK","Juvenile",9,-4,"Y","SC","M","22.36277778","113.9872222","245","EPRE"
